Date,Open,High,Low,Close,Adj Close,Volume
2018-08-10,7.454560,7.455400,7.452740,7.454900,7.454900,0
2018-08-13,7.452810,7.453840,7.452430,7.453200,7.453200,0
2018-08-14,7.452940,7.455400,7.452510,7.452940,7.452940,0
2018-08-15,7.454400,7.457300,7.453780,7.454400,7.454400,0
2018-08-16,7.454390,7.457300,7.453790,7.454280,7.454280,0
2018-08-17,7.456030,7.458450,7.455830,7.456190,7.456190,0
2018-08-20,7.456650,7.459200,7.455990,7.456800,7.456800,0
2018-08-21,7.457760,7.459180,7.457230,7.457730,7.457730,0
2018-08-22,7.458030,7.459200,7.457450,7.458090,7.458090,0
2018-08-23,7.458000,7.459390,7.457520,7.458060,7.458060,0
2018-08-24,7.458870,7.459420,7.457380,7.458930,7.458930,0
2018-08-27,7.458630,7.459200,7.457190,7.458740,7.458740,0
2018-08-28,7.457450,7.458300,7.456160,7.457380,7.457380,0
2018-08-29,7.456380,7.457210,7.455590,7.455910,7.455910,0
2018-08-30,7.456740,7.457300,7.454980,7.456710,7.456710,0
2018-08-31,7.455700,7.455800,7.454110,7.455380,7.455380,0
2018-09-03,7.454300,7.455380,7.452400,7.454500,7.454500,0
2018-09-04,7.453770,7.454620,7.453360,7.454100,7.454100,0
2018-09-05,7.453880,7.455870,7.453610,7.453850,7.453850,0
2018-09-06,7.454640,7.456900,7.454460,7.455000,7.455000,0
2018-09-07,7.456200,7.457700,7.455550,7.455880,7.455880,0
2018-09-10,7.457360,7.458700,7.456610,7.457270,7.457270,0
2018-09-11,7.457490,7.459350,7.457180,7.458100,7.458100,0
2018-09-12,7.458900,7.459250,7.458110,7.459000,7.459000,0
2018-09-13,7.458920,7.459400,7.458390,7.458920,7.458920,0
2018-09-14,7.458900,7.460130,7.458410,7.459100,7.459100,0
2018-09-17,7.458860,7.460180,7.458290,7.458730,7.458730,0
2018-09-18,7.460010,7.460600,7.459110,7.459990,7.459990,0
2018-09-19,7.459920,7.460500,7.458790,7.459880,7.459880,0
2018-09-20,7.460100,7.460800,7.458190,7.460120,7.460120,0
2018-09-21,7.457010,7.459630,7.456850,7.456940,7.456940,0
2018-09-24,7.459240,7.459980,7.458650,7.459290,7.459290,0
2018-09-25,7.458200,7.459700,7.457690,7.458200,7.458200,0
2018-09-26,7.458410,7.459540,7.457250,7.458410,7.458410,0
2018-09-27,7.457370,7.459140,7.456680,7.457390,7.457390,0
2018-09-28,7.456010,7.458170,7.455350,7.456130,7.456130,0
2018-10-01,7.456170,7.457260,7.454610,7.456190,7.456190,0
2018-10-02,7.455540,7.456320,7.455060,7.455620,7.455620,0
2018-10-03,7.455400,7.456530,7.455200,7.455800,7.455800,0
2018-10-04,7.455740,7.457100,7.455050,7.455550,7.455550,0
2018-10-05,7.456900,7.459200,7.456450,7.457200,7.457200,0
2018-10-08,7.459200,7.460000,7.458040,7.459200,7.459200,0
2018-10-09,7.459440,7.459980,7.458330,7.459500,7.459500,0
2018-10-10,7.459560,7.460400,7.458740,7.460000,7.460000,0
2018-10-11,7.459200,7.460780,7.459090,7.459600,7.459600,0
2018-10-12,7.460440,7.460800,7.459120,7.460310,7.460310,0
2018-10-15,7.459450,7.460900,7.459060,7.459540,7.459540,0
2018-10-16,7.460460,7.461100,7.459640,7.460370,7.460370,0
2018-10-17,7.460300,7.460900,7.459380,7.460140,7.460140,0
2018-10-18,7.459820,7.460900,7.459610,7.459860,7.459860,0
2018-10-19,7.459550,7.460500,7.459160,7.459900,7.459900,0
2018-10-22,7.460000,7.460800,7.459430,7.460000,7.460000,0
2018-10-23,7.460120,7.460700,7.459300,7.460190,7.460190,0
2018-10-24,7.460100,7.460600,7.459070,7.460040,7.460040,0
2018-10-25,7.460700,7.461300,7.459280,7.460370,7.460370,0
2018-10-26,7.460710,7.461300,7.459460,7.461200,7.461200,0
2018-10-29,7.460180,7.461300,7.459210,7.460180,7.460180,0
2018-10-30,7.461790,7.462500,7.460450,7.462100,7.462100,0
2018-10-31,7.460940,7.461700,7.459840,7.460950,7.460950,0
2018-11-01,7.459320,7.461000,7.458740,7.459410,7.459410,0
2018-11-02,7.459710,7.460810,7.458890,7.460100,7.460100,0
2018-11-05,7.459800,7.460000,7.458460,7.459270,7.459270,0
2018-11-06,7.458660,7.459600,7.458300,7.458650,7.458650,0
2018-11-07,7.458410,7.460100,7.457950,7.458420,7.458420,0
2018-11-08,7.459600,7.459700,7.457880,7.459700,7.459700,0
2018-11-09,7.458220,7.460000,7.458060,7.458700,7.458700,0
2018-11-12,7.458270,7.460300,7.457980,7.458740,7.458740,0
2018-11-13,7.458510,7.461300,7.458450,7.458900,7.458900,0
2018-11-14,7.461360,7.462200,7.460480,7.461700,7.461700,0
2018-11-15,7.462100,7.462500,7.460580,7.461670,7.461670,0
2018-11-16,7.461340,7.462300,7.460760,7.461280,7.461280,0
2018-11-19,7.461240,7.462500,7.460200,7.461220,7.461220,0
2018-11-20,7.461910,7.462800,7.461280,7.461810,7.461810,0
2018-11-21,7.461900,7.462700,7.460770,7.461850,7.461850,0
2018-11-22,7.461200,7.462100,7.460420,7.460680,7.460680,0
2018-11-23,7.461800,7.462200,7.460490,7.462200,7.462200,0
2018-11-26,7.460760,7.461900,7.460260,7.461140,7.461140,0
2018-11-27,7.461200,7.461700,7.460120,7.460770,7.460770,0
2018-11-28,7.461120,7.462300,7.460050,7.461500,7.461500,0
2018-11-29,7.461740,7.462500,7.461180,7.461610,7.461610,0
2018-11-30,7.461120,7.462900,7.460900,7.461500,7.461500,0
2018-12-03,7.462250,7.462800,7.461220,7.462270,7.462270,0
2018-12-04,7.462040,7.463030,7.461140,7.462020,7.462020,0
2018-12-05,7.462550,7.463200,7.461270,7.462900,7.462900,0
2018-12-06,7.463200,7.463500,7.462250,7.463300,7.463300,0
2018-12-07,7.463030,7.464600,7.462500,7.463010,7.463010,0
2018-12-10,7.464300,7.465100,7.463150,7.464030,7.464030,0
2018-12-11,7.463900,7.464300,7.463250,7.464100,7.464100,0
2018-12-12,7.463530,7.464500,7.459400,7.463460,7.463460,0
2018-12-13,7.463610,7.464700,7.462910,7.463450,7.463450,0
2018-12-14,7.463580,7.466300,7.463520,7.464200,7.464200,0
2018-12-17,7.465300,7.467000,7.464590,7.465300,7.465300,0
2018-12-18,7.467200,7.467760,7.465980,7.467100,7.467100,0
2018-12-19,7.466880,7.467600,7.466560,7.466920,7.466920,0
